id,label
1,cat
2,cat
3,cat
4,cat
5,cat
6,cat
7,cat
8,cat
9,cat
10,cat
11,cat
12,cat
13,cat
14,cat
15,cat
16,cat
17,cat
18,cat
19,cat
20,cat
21,cat
22,cat
23,cat
24,cat
25,cat
26,cat
27,cat
28,cat
29,cat
30,cat
31,cat
32,cat
33,cat
34,cat
35,cat
36,cat
37,cat
38,cat
39,cat
40,cat
41,cat
42,cat
43,cat
44,cat
45,cat
46,cat
47,cat
48,cat
49,cat
50,cat
51,cat
52,cat
53,cat
54,cat
55,cat
56,cat
57,cat
58,cat
59,cat
60,cat
61,cat
62,cat
63,cat
64,cat
65,cat
66,cat
67,cat
68,cat
69,cat
70,cat
71,cat
72,cat
73,cat
74,cat
75,cat
76,cat
77,cat
78,cat
79,cat
80,cat
81,cat
82,cat
83,cat
84,cat
85,cat
86,cat
87,cat
88,cat
89,cat
90,cat
91,cat
92,cat
93,cat
94,cat
95,cat
96,cat
97,cat
98,cat
99,cat
100,cat
101,cat
102,cat
103,cat
104,cat
105,cat
106,cat
107,cat
108,cat
109,cat
110,cat
111,cat
112,cat
113,cat
114,cat
115,cat
116,cat
117,cat
118,cat
119,cat
120,cat
121,cat
122,cat
123,cat
124,cat
125,cat
126,cat
127,cat
128,cat
129,cat
130,cat
131,cat
132,cat
133,cat
134,cat
135,cat
136,cat
137,cat
138,cat
139,cat
140,cat
141,cat
142,cat
143,cat
144,cat
145,cat
146,cat
147,cat
148,cat
149,cat
150,cat
151,cat
152,cat
153,cat
154,cat
155,cat
156,cat
157,cat
158,cat
159,cat
160,cat
161,cat
162,cat
163,cat
164,cat
165,cat
166,cat
167,cat
168,cat
169,cat
170,cat
171,cat
172,cat
173,cat
174,cat
175,cat
176,cat
177,cat
178,cat
179,cat
180,cat
181,cat
182,cat
183,cat
184,cat
185,cat
186,cat
187,cat
188,cat
189,cat
190,cat
191,cat
192,cat
193,cat
194,cat
195,cat
196,cat
197,cat
198,cat
199,cat
200,cat
201,cat
202,cat
203,cat
204,cat
205,cat
206,cat
207,cat
208,cat
209,cat
210,cat
211,cat
212,cat
213,cat
214,cat
215,cat
216,cat
217,cat
218,cat
219,cat
220,cat
221,cat
222,cat
223,cat
224,cat
225,cat
226,cat
227,cat
228,cat
229,cat
230,cat
231,cat
232,cat
233,cat
234,cat
235,cat
236,cat
237,cat
238,cat
239,cat
240,cat
241,cat
242,cat
243,cat
244,cat
245,cat
246,cat
247,cat
248,cat
249,cat
250,cat
251,cat
252,cat
253,cat
254,cat
255,cat
256,cat
257,cat
258,cat
259,cat
260,cat
261,cat
262,cat
263,cat
264,cat
265,cat
266,cat
267,cat
268,cat
269,cat
270,cat
271,cat
272,cat
273,cat
274,cat
275,cat
276,cat
277,cat
278,cat
279,cat
280,cat
281,cat
282,cat
283,cat
284,cat
285,cat
286,cat
287,cat
288,cat
